5.0067,14.048
4.6807,-6.8203
5.0078,14.206
1.4918,5.138
8.2028,-1.8165
3.2136,4.957
7.7917,5.1775
8.1508,2.5162
0.14802,22.942
2.2758,11.066
7.1173,22.71
8.2111,-11.118
7.9333,-2.8869
4.9522,13.121
5.6057,-14.658
5.1493,-3.6843
2.8701,1.9646
1.8809,1.1336
3.4101,-7.678
2.6631,12.414
2.0281,0.52616
4.0767,14.787
5.2124,-4.2532
0.084529,20.98
9.6314,45.952
8.6047,9.0214
7.9002,5.3473
7.5214,-6.2991
9.3918,34.753
9.8422,48.268
0.85069,2.489
5.3265,11.82
7.5585,3.0326
3.1034,-6.9815
6.9177,-6.6846
1.9535,-7.0341
8.542,2.3374
4.3809,-5.9267
6.3458,-17.089
2.7904,23.145
6.752,0.86114
3.8388,14.249
2.128,15.238
1.6899,13.902
4.4198,7.0541
9.2413,20.197
7.9058,8.5732
3.2221,-8.8176
0.045846,-0.82002
6.8823,-24.577
6.4428,8.5916
4.0005,15.224
0.042425,40.893
5.7518,0.013195
2.2379,-13.315
8.5624,14.688
7.9852,0.7151
7.3291,12.394
8.8416,19.802
5.641,-21.781
6.5537,-9.7512
0.5991,18.121
8.0498,-9.1704
7.8534,-10.337
9.5645,40.984
4.7396,21.885
7.2667,1.0941
6.7998,-13.221
6.6838,1.2756
0.53004,-2.0118
6.0875,4.6738
3.3374,-3.6359
9.3682,26.439
0.088474,13.289
9.2769,21.73
2.1523,-9.3914
5.4034,-24.395
4.9797,2.3825
6.5438,-0.3337
7.6615,-9.9828
8.4165,-0.55959
2.7436,-20.024
4.7965,-19.791
7.1205,-27.568
2.4736,-15.572
6.5001,9.7821
8.1341,-12.635
6.9665,11.291
6.3767,-0.32285
8.9999,5.1259
4.7619,16.942
1.9274,-13.459
4.9884,-19.313
0.050347,26.051
7.5,5.8963
3.5976,0.94386
0.2709,19.522
2.8895,-2.4005
7.1049,-5.929
6.1757,-5.7814
